rome,rome_label,formacode,formacode_label
32141,Juriste,13275,NOTARIAT
32141,Juriste,13354,DROIT FISCAL
32142,Collaborateur juridique,13254,DROIT
32151,Chargé d'analyses et de développement,12512,URBANISME
32151,Chargé d'analyses et de développement,14277,SOCIOLOGIE
32151,Chargé d'analyses et de développement,31575,BUREAU ETUDES
32152,Chargé d'études et de recherche en sciences de l'Homme,11036,STATISTIQUE
32152,Chargé d'études et de recherche en sciences de l'Homme,13154,ECONOMIE
32152,Chargé d'études et de recherche en sciences de l'Homme,14207,ARCHEOLOGIE
32152,Chargé d'études et de recherche en sciences de l'Homme,14223,GEOGRAPHIE HUMAINE
32152,Chargé d'études et de recherche en sciences de l'Homme,14224,ANTHROPOLOGIE
32152,Chargé d'études et de recherche en sciences de l'Homme,14227,HISTOIRE
32152,Chargé d'études et de recherche en sciences de l'Homme,14235,ETHNOLOGIE
32152,Chargé d'études et de recherche en sciences de l'Homme,14254,SCIENCES HUMAINES
32152,Chargé d'études et de recherche en sciences de l'Homme,14277,SOCIOLOGIE
32152,Chargé d'études et de recherche en sciences de l'Homme,14450,PSYCHOLOGIE EXPERIMENTALE
32152,Chargé d'études et de recherche en sciences de l'Homme,14454,PSYCHOLOGIE
32161,Cadre chargé de la sécurité publique,42837,POLICE GENDARMERIE
32162,Cadre responsable des ressources publiques,13110,CONTROLE GESTION PUBLIQUE
32162,Cadre responsable des ressources publiques,13121,GESTION PUBLIQUE
32162,Cadre responsable des ressources publiques,13324,CONTROLE FISCAL
32163,Cadre responsable de l'utilisation des fonds publics,13110,CONTROLE GESTION PUBLIQUE
32163,Cadre responsable de l'utilisation des fonds publics,13121,GESTION PUBLIQUE
32164,Cadre chargé de l'application des droits des personnes,13041,FONCTION PUBLIQUE
32164,Cadre chargé de l'application des droits des personnes,13213,INSPECTION TRAVAIL
32165,Cadre technico-administratif des services au public,13041,FONCTION PUBLIQUE
32165,Cadre technico-administratif des services au public,43432,QUALITE SANTE
32165,Cadre technico-administratif des services au public,44037,DIRECTION ETABLISSEMENT SOCIOCULTUREL
32165,Cadre technico-administratif des services au public,44039,GESTION MAISON RETRAITE
32171,Cadre juridique garant des règles institutionnelles,13237,DROIT PUBLIC
32171,Cadre juridique garant des règles institutionnelles,13239,DROIT CONSTITUTIONNEL
32172,Cadre responsable de la mise en oeuvre de la politique des pouvoirs publics,13054,SCIENCE POLITIQUE
32211,Rédacteur de presse,46404,INFORMATISATION REDACTION
32211,Rédacteur de presse,46405,ECRITURE JOURNALISTIQUE
32211,Rédacteur de presse,46407,SECRETARIAT DE REDACTION
32211,Rédacteur de presse,46425,JOURNALISME
32212,Créateur de support de communication visuelle,46050,MAQUETTE ELECTRONIQUE
32212,Créateur de support de communication visuelle,46081,CONCEPTION GRAPHIQUE
32212,Créateur de support de communication visuelle,46091,MAQUETTE MISE EN PAGE
32212,Créateur de support de communication visuelle,46115,GRAPHISME VIDEOTEX
32212,Créateur de support de communication visuelle,46125,GRAPHISME MULTIMEDIA
32212,Créateur de support de communication visuelle,46131,FILM ANIMATION
32212,Créateur de support de communication visuelle,46134,INFOGRAPHIE
32212,Créateur de support de communication visuelle,46422,COMMUNICATION ENTREPRISE
32213,Chargé de communication,33088,COMMUNICATION INTERNE
32213,Chargé de communication,46413,SERVICE PRESSE
32213,Chargé de communication,46422,COMMUNICATION ENTREPRISE
32213,Chargé de communication,46433,RELATIONS PUBLIQUES
32214,Spécialiste de la gestion de l'information,46473,DOCUMENTATION
32214,Spécialiste de la gestion de l'information,46485,ARCHIVES
32214,Spécialiste de la gestion de l'information,46494,BIBLIOTHEQUE
32221,Responsable de campagne publicitaire,34074,PUBLICITE
32222,Responsable du plan média,34074,PUBLICITE
32222,Responsable du plan média,46422,COMMUNICATION ENTREPRISE
32222,Responsable du plan média,46433,RELATIONS PUBLIQUES
32231,Coordinateur d'édition,46054,INDUSTRIE GRAPHIQUE IMPRIMERIE
32231,Coordinateur d'édition,46427,EDITION
32241,"Traducteur, interprète",15231,TRADUCTION
32241,"Traducteur, interprète",15241,INTERPRETARIAT
32311,Informaticien d'exploitation,31023,EXPLOITATION INFORMATIQUE
32321,Informaticien d'étude,24491,PROGRAMMATION INFORMATIQUE INDUSTRIELLE
32321,Informaticien d'étude,31054,INFORMATIQUE
32321,Informaticien d'étude,31057,GENIE LOGICIEL
32321,Informaticien d'étude,31067,ANALYSE PROGRAMMATION
32321,Informaticien d'étude,31091,BUREAUTIQUE CONCEPTION
32321,Informaticien d'étude,31094,PROJET INFORMATIQUE
32331,Informaticien expert,24273,ARCHITECTURE RESEAU
32331,Informaticien expert,31012,INGENIEUR SYSTEME
32331,Informaticien expert,31038,AUDIT INFORMATIQUE
32331,Informaticien expert,31057,GENIE LOGICIEL
32341,Organisateur informaticien,31015,INFOCENTRE
32341,Organisateur informaticien,31018,MICRO-INFORMATIQUE
32341,Organisateur informaticien,31060,GESTION INFORMATIQUE
32341,Organisateur informaticien,31070,VENTE INFORMATIQUE
32341,Organisateur informaticien,31085,INFORMATISATION
32341,Organisateur informaticien,31093,CORRESPONDANCE INFORMATIQUE
32341,Organisateur informaticien,31094,PROJET INFORMATIQUE
32341,Organisateur informaticien,31095,SCHEMA DIRECTEUR INFORMATIQUE
32341,Organisateur informaticien,31096,CAHIER CHARGES INFORMATIQUE
33111,Acheteur industriel,34002,NEGOCIATION ACHAT
33111,Acheteur industriel,34016,MARKETING ACHAT
33111,Acheteur industriel,34024,ACHAT
33111,Acheteur industriel,34292,ACHAT INTERNATIONAL
33112,Responsable de la stratégie commerciale,34052,MARKETING
33112,Responsable de la stratégie commerciale,34085,STRATEGIE COMMERCIALE
33112,Responsable de la stratégie commerciale,34260,MARKETING INTERNATIONAL
33112,Responsable de la stratégie commerciale,34279,ASSISTANCE EXPORT
33112,Responsable de la stratégie commerciale,34573,ACTION COMMERCIALE
33113,Responsable des ventes,34254,COMMERCE INTERNATIONAL
33113,Responsable des ventes,34532,VENTE
33114,Chef de produit,34030,CHEF PRODUIT
33114,Chef de produit,34052,MARKETING
33114,Chef de produit,34060,ETUDE MARCHE
33115,Cadre de gestion administrative des ventes,34056,ADMINISTRATION VENTES
33115,Cadre de gestion administrative des ventes,34256,EXPORTATION
33115,Cadre de gestion administrative des ventes,34532,VENTE
33121,Marchandiseur,34597,MARCHANDISAGE
33122,Acheteur du commerce,34024,ACHAT
33123,Chef de département commercial,34554,COMMERCIALISATION
33124,Directeur de magasin,34554,COMMERCIALISATION
33124,Directeur de magasin,34587,GRANDE DISTRIBUTION
33211,Conseiller financier bancaire,41003,GESTION PORTEFEUILLE
33211,Conseiller financier bancaire,41054,BANQUE ASSURANCE
33212,Attaché commercial bancaire,41040,MARKETING BANCAIRE
33212,Attaché commercial bancaire,41062,BANQUE
33212,Attaché commercial bancaire,41083,CLIENTELE PARTICULIER
33212,Attaché commercial bancaire,41092,CLIENTELE ENTREPRISE
33213,Responsable d'exploitation bancaire,41062,BANQUE
33213,Responsable d'exploitation bancaire,41070,GESTION EXPLOITATION BANQUE
33214,Concepteur gestionnaire de produits bancaires,41002,PRODUIT FINANCIER
33214,Concepteur gestionnaire de produits bancaires,41062,BANQUE
33215,Conseiller en crédit bancaire,41084,CREDIT BANCAIRE
33216,Opérateur sur marchés de capitaux,41021,MARCHE FINANCIER SPECIFIQUE
33216,Opérateur sur marchés de capitaux,41023,MARCHE FINANCIER
33221,Responsable d'exploitation en assurances,41036,ASSURANCE
33222,Agent général courtier,41023,MARCHE FINANCIER
33222,Agent général courtier,41036,ASSURANCE
33223,Concepteur-animateur développement de produits d'assurances,41036,ASSURANCE
33224,Inspecteur technico-administratif d'assurances,41015,INSPECTION ASSURANCE
33225,Inspecteur délégué aux indemnisations en assurances,41015,INSPECTION ASSURANCE
33225,Inspecteur délégué aux indemnisations en assurances,41028,DOMMAGE ASSURANCE
33226,Chargé d'études actuarielles en assurances,41036,ASSURANCE
33226,Chargé d'études actuarielles en assurances,41079,ACTUARIAT
33231,Chargé de gestion globale en immobilier,41014,GESTION PATRIMOINE
33231,Chargé de gestion globale en immobilier,42017,GESTION IMMOBILIERE
33232,Transacteur en immobilier,42029,AGENCE IMMOBILIERE
33233,Chargé d'opérations immobilières,42017,GESTION IMMOBILIERE
33233,Chargé d'opérations immobilières,42059,PROMOTION IMMOBILIERE
33311,Dirigeant de PME/PMI,32054,DIRECTION ENTREPRISE
33312,Cadre dirigeant de la Fonction Publique (et assimilé),32054,DIRECTION ENTREPRISE
33313,Cadre d'état-major de grande entreprise privée,32054,DIRECTION ENTREPRISE
41111,Cultivateur en grandes cultures,21206,PRODUCTION FOURRAGERE
41111,Cultivateur en grandes cultures,21215,PRODUCTION CEREALE
41111,Cultivateur en grandes cultures,21226,CULTURE SPECIALISEE
41111,Cultivateur en grandes cultures,21254,PRODUCTION VEGETALE
41112,Maraîcher-horticulteur,21207,CULTURE PLANTE MEDICINALE
41112,Maraîcher-horticulteur,21222,CULTURE SERRE
41112,Maraîcher-horticulteur,21226,CULTURE SPECIALISEE
41112,Maraîcher-horticulteur,21239,PEPINIERE
41112,Maraîcher-horticulteur,21249,FLORICULTURE
41112,Maraîcher-horticulteur,21256,HORTICULTURE
41112,Maraîcher-horticulteur,21258,CULTURE LEGUMIERE
41112,Maraîcher-horticulteur,21259,MARAICHAGE
41112,Maraîcher-horticulteur,21290,SEMENCE
41113,Jardinier d'espaces verts,21277,ESPACE VERT
41113,Jardinier d'espaces verts,21279,ENTRETIEN TERRAIN GOLF
41114,Arboriculteur-viticulteur,21223,VITICULTURE
41114,Arboriculteur-viticulteur,21268,PRODUCTION FRUIT
41115,Sylviculteur,21274,SYLVICULTURE
41116,Bûcheron,21294,BUCHERONNAGE
41116,Bûcheron,21297,TAILLE ARBRE
41117,Aide agricole saisonnier,21215,PRODUCTION CEREALE
41117,Aide agricole saisonnier,21223,VITICULTURE
41117,Aide agricole saisonnier,21254,PRODUCTION VEGETALE
41121,Eleveur de bétail sur sol,21026,ELEVAGE GIBIER
41121,Eleveur de bétail sur sol,21056,ELEVAGE
41121,Eleveur de bétail sur sol,21075,ELEVAGE OVIN
41121,Eleveur de bétail sur sol,21078,ELEVAGE BOVIN
41122,Eleveur-soigneur de chevaux,21056,ELEVAGE
41122,Eleveur-soigneur de chevaux,21088,ELEVAGE CHEVAL
41122,Eleveur-soigneur de chevaux,21099,SOIN CHEVAL
41123,Eleveur en production laitière,21056,ELEVAGE
41123,Eleveur en production laitière,21085,ELEVAGE LAITIER
41123,Eleveur en production laitière,21086,ELEVAGE CAPRIN
41124,Eleveur hors sol,21015,CUNICULICULTURE
41124,Eleveur hors sol,21017,ELEVAGE ANIMAL FOURRURE
41124,Eleveur hors sol,21026,ELEVAGE GIBIER
41124,Eleveur hors sol,21058,AVICULTURE
41124,Eleveur hors sol,21097,ELEVAGE PORCIN
41125,Eleveur spécialisé en productions rares,12010,ANIMAL LABORATOIRE
41125,Eleveur spécialisé en productions rares,21019,SERICICULTURE
41125,Eleveur spécialisé en productions rares,21029,HELICICULTURE
41125,Eleveur spécialisé en productions rares,21039,LOMBRICULTURE
41125,Eleveur spécialisé en productions rares,21049,APICULTURE
41125,Eleveur spécialisé en productions rares,21056,ELEVAGE
41125,Eleveur spécialisé en productions rares,42013,DRESSAGE ANIMAUX
41131,Polyculteur-éleveur,21054,AGRICULTURE
41131,Polyculteur-éleveur,21210,POLYCULTURE
41131,Polyculteur-éleveur,21254,PRODUCTION VEGETALE
41141,Collecteur d'espèces sauvages,21056,ELEVAGE
41141,Collecteur d'espèces sauvages,21254,PRODUCTION VEGETALE
41211,Aquaculteur,21317,CULTURE ALGUE
41211,Aquaculteur,21347,AQUACULTURE
41211,Aquaculteur,21349,PISCICULTURE
41211,Aquaculteur,21368,CONCHYLICULTURE
41211,Aquaculteur,21385,MARAIS SALANT
41211,Aquaculteur,21387,MYTILICULTURE
41211,Aquaculteur,21389,OSTREICULTURE
41212,Matelot à la pêche,21333,MARIN PECHEUR
41221,Marin de la navigation maritime,31872,TRANSPORT MARITIME
41222,Marin de la navigation fluviale,31850,TRANSPORT FLUVIAL
42111,Assistant des travaux publics et gros oeuvre,22010,AMENAGEMENT ROUTE
42111,Assistant des travaux publics et gros oeuvre,22013,TRAVAUX FERROVIAIRES
42111,Assistant des travaux publics et gros oeuvre,22042,TRANCHEE
42111,Assistant des travaux publics et gros oeuvre,22048,TRAVAUX PORTUAIRES
42111,Assistant des travaux publics et gros oeuvre,22291,TERRASSEMENT
42111,Assistant des travaux publics et gros oeuvre,22329,DEMOLITION
42111,Assistant des travaux publics et gros oeuvre,22354,BATIMENT GROS OEUVRE
42112,Ouvrier des travaux publics,22048,TRAVAUX PORTUAIRES
42112,Ouvrier des travaux publics,22054,TRAVAUX PUBLICS
42112,Ouvrier des travaux publics,22062,VRD
42112,Ouvrier des travaux publics,22070,CANALISATION RESEAU EXTERIEUR
42112,Ouvrier des travaux publics,22082,PAVAGE POSE BORDURE
42113,Ouvrier du béton,22005,OUVRAGE BETON
42113,Ouvrier du béton,22311,COFFRAGE
42113,Ouvrier du béton,22320,FERRAILLAGE
42113,Ouvrier du béton,22395,CONSTRUCTION BETON
42114,Ouvrier de la maçonnerie,22301,ENDUIT MACONNERIE
42114,Ouvrier de la maçonnerie,22303,MACONNERIE PIERRE
42114,Ouvrier de la maçonnerie,22331,BRIQUETAGE
42114,Ouvrier de la maçonnerie,22334,MACONNERIE
42121,Monteur en structures métalliques,22318,BARDAGE
42121,Monteur en structures métalliques,22387,CONSTRUCTION METALLIQUE
42121,Monteur en structures métalliques,22469,CHARPENTE METALLIQUE
42122,Monteur en structures bois,22396,CONSTRUCTION BOIS
42122,Monteur en structures bois,22459,CHARPENTE BOIS
42123,Couvreur,22437,COUVERTURE
42123,Couvreur,22439,ZINGUERIE
42123,Couvreur,22448,COUVERTURE TUILE
42124,Ouvrier de l'étanchéité et de l'isolation,22618,ISOLATION THERMIQUE
42124,Ouvrier de l'étanchéité et de l'isolation,22619,ISOLATION PHONIQUE
42124,Ouvrier de l'étanchéité et de l'isolation,22638,ISOLATION THERMIQUE PHONIQUE
42124,Ouvrier de l'étanchéité et de l'isolation,22647,ISOLATION BATIMENT
42124,Ouvrier de l'étanchéité et de l'isolation,22649,ETANCHEITE
42131,"Ouvrier de l'extraction solide (minerai, minéraux ...)",12258,PROSPECTION EXPLOITATION MINIERE
42131,"Ouvrier de l'extraction solide (minerai, minéraux ...)",22329,DEMOLITION
42132,"Ouvrier de l'extraction liquide et gazeuse (pétrole, eau ...)",12227,HYDROGEOLOGIE
42132,"Ouvrier de l'extraction liquide et gazeuse (pétrole, eau ...)",12229,PROSPECTION EXPLOITATION PETROLE
42132,"Ouvrier de l'extraction liquide et gazeuse (pétrole, eau ...)",12238,PROSPECTION EXPLOITATION HYDROCARBURE
42132,"Ouvrier de l'extraction liquide et gazeuse (pétrole, eau ...)",12249,PROSPECTION EXPLOITATION GAZ
42132,"Ouvrier de l'extraction liquide et gazeuse (pétrole, eau ...)",12532,GESTION RESSOURCE EAU
42132,"Ouvrier de l'extraction liquide et gazeuse (pétrole, eau ...)",22087,FORAGE
42211,Electricien du bâtiment et des travaux publics,22692,CHAUFFAGE ELECTRIQUE
42211,Electricien du bâtiment et des travaux publics,24054,ELECTROTECHNIQUE
42211,Electricien du bâtiment et des travaux publics,24066,INSTALLATION ELECTRIQUE
42212,Installateur d'équipements sanitaires et thermiques,22635,CLIMATISATION
42212,Installateur d'équipements sanitaires et thermiques,22657,FUMISTERIE
42212,Installateur d'équipements sanitaires et thermiques,22677,PLOMBERIE
42212,Installateur d'équipements sanitaires et thermiques,22685,INSTALLATION THERMIQUE SANITAIRE
42221,Poseur de fermetures menuisées,22409,MENUISERIE ALUMINIUM
42221,Poseur de fermetures menuisées,22417,MENUISERIE PLASTIQUE
42221,Poseur de fermetures menuisées,22418,MENUISERIE METALLIQUE
42221,Poseur de fermetures menuisées,22434,VITRERIE MIROITERIE
42221,Poseur de fermetures menuisées,22479,SERRURERIE
42221,Poseur de fermetures menuisées,22498,HUISSERIE
42222,Monteur plaquiste en agencements,22371,PREFABRICATION
42222,Monteur plaquiste en agencements,22403,PLAQUE PLATRE
42231,Poseur de revêtements rigides,22405,PARQUET
42231,Poseur de revêtements rigides,22440,CARRELAGE MOSAIQUE
42231,Poseur de revêtements rigides,22442,REVETEMENT SOL MUR
42232,Poseur de revêtements souples,22410,POSE TISSU MURAL
42232,Poseur de revêtements souples,22423,POSE SOL PLASTIQUE
42232,Poseur de revêtements souples,22429,COUVERTURE ARDOISE
42232,Poseur de revêtements souples,22430,POSE MOQUETTE
42232,Poseur de revêtements souples,22442,REVETEMENT SOL MUR
42232,Poseur de revêtements souples,22460,POSE PAPIER PEINT
42233,Peintre en bâtiment,22470,PEINTURE DECORATIVE
42233,Peintre en bâtiment,22472,PEINTURE BATIMENT
42233,Peintre en bâtiment,22480,PEINTURE INTERIEURE
43111,Conducteur de transport de particuliers,31801,CONDUITE TAXI
43111,Conducteur de transport de particuliers,31803,CONDUITE VOITURE DIRECTION
43111,Conducteur de transport de particuliers,31812,CONDUITE AUTO
43111,Conducteur de transport de particuliers,31820,SECURITE CONDUITE
43111,Conducteur de transport de particuliers,43419,AMBULANCIER
43112,Conducteur de transport en commun (réseau routier),31804,CONDUITE VEHICULE ARTICULE
43112,Conducteur de transport en commun (réseau routier),31805,TRANSPORT EN COMMUN
43112,Conducteur de transport en commun (réseau routier),31820,SECURITE CONDUITE
43112,Conducteur de transport en commun (réseau routier),42603,CONDUCTEUR TOURISME
43113,Conducteur-livreur,31807,LIVRAISON
43114,Conducteur de transport de marchandises (réseau routier),31808,TRANSPORT FRIGORIFIQUE
43114,Conducteur de transport de marchandises (réseau routier),31816,CONDUITE POIDS LOURD
43114,Conducteur de transport de marchandises (réseau routier),31819,TRANSPORT PRODUIT CHIMIQUE
43114,Conducteur de transport de marchandises (réseau routier),31820,SECURITE CONDUITE
43114,Conducteur de transport de marchandises (réseau routier),31827,TRANSPORT MARCHANDISE
43114,Conducteur de transport de marchandises (réseau routier),31828,TRANSPORT MATIERE DANGEREUSE
43121,Conducteur sur réseau guidé,31769,ENGIN FERROVIAIRE
43121,Conducteur sur réseau guidé,31840,TRANSPORT RESEAU GUIDE
43211,"Conducteur d'engins de chantier du BTP, du génie civil et de l'exploitation des ca",31706,CHOULEUR CHARGEUR
43211,"Conducteur d'engins de chantier du BTP, du génie civil et de l'exploitation des ca",31717,ENGIN CHANTIER
43212,Conducteur d'engins d'exploitation agricole et forestière,21011,MACHINISME AGRICOLE
43212,Conducteur d'engins d'exploitation agricole et forestière,21204,MACHINISME VITICOLE
43212,Conducteur d'engins d'exploitation agricole et forestière,21228,MACHINISME HORTICOLE
43212,Conducteur d'engins d'exploitation agricole et forestière,21295,ENGIN FORESTIER
43213,Conducteur d'engins de traction,31759,ENGIN TRACTION
43213,Conducteur d'engins de traction,31769,ENGIN FERROVIAIRE
43221,Conducteur d'engins de levage,31708,GRUE
43221,Conducteur d'engins de levage,31726,ELEVATEUR
43221,Conducteur d'engins de levage,31728,PONT ROULANT
43221,Conducteur d'engins de levage,31738,PONT ELINGAGE
43221,Conducteur d'engins de levage,31747,ENGIN MANUTENTION LEVAGE
43311,Agent du stockage et de la répartition de marchandises,31713,MESSAGERIE STOCKAGE
43311,Agent du stockage et de la répartition de marchandises,31734,MAGASINAGE
43312,Agent de manipulation et de déplacement des charges,31729,ELINGAGE
43312,Agent de manipulation et de déplacement des charges,31738,PONT ELINGAGE
43312,Agent de manipulation et de déplacement des charges,31754,MANUTENTION
43312,Agent de manipulation et de déplacement des charges,31768,CARISTE
43312,Agent de manipulation et de déplacement des charges,31784,PALETTISATION
43312,Agent de manipulation et de déplacement des charges,31795,SECURITE MANUTENTION
43312,Agent de manipulation et de déplacement des charges,31891,ACTIVITE PORTUAIRE
43313,Déménageur,31809,DEMENAGEMENT
43314,Agent de routage,31713,MESSAGERIE STOCKAGE
43314,Agent de routage,31734,MAGASINAGE
43315,Agent distributeur,31754,MANUTENTION
43321,Agent de manoeuvre du réseau ferré,31769,ENGIN FERROVIAIRE
43321,Agent de manoeuvre du réseau ferré,31840,TRANSPORT RESEAU GUIDE
43322,Personnel du mouvement (transport ferroviaire),31840,TRANSPORT RESEAU GUIDE
43323,Agent de remontée filo-guidée,31842,TRANSPORT FILO-GUIDE
43331,Personnel administratif de la circulation internationale des marchandises,31847,TRANSPORT INTERNATIONAL
43332,Affréteur,31856,AFFRETEMENT
43332,Affréteur,31869,FRET AERIEN
43333,Litigeur transport,31894,DROIT TRANSPORT
43333,Litigeur transport,34232,REGLEMENTATION COMMERCE INTERNATIONAL
43411,Accompagnateur tourisme,42602,GUIDE INTERPRETE
43411,Accompagnateur tourisme,42611,GUIDE ACCOMPAGNATEUR
43412,Agent de contrôle des transports en commun,31805,TRANSPORT EN COMMUN
43413,Personnel navigant commercial de l'aviation civile,31867,TRANSPORT AERIEN
43413,Personnel navigant commercial de l'aviation civile,31879,HOTESSE AIR STEWARD
43414,Agent d'escale,31876,PERSONNEL AU SOL
44111,Agent d'usinage des métaux,23076,USINAGE
44112,Agent de découpage des métaux,23078,DECOUPAGE
44113,Conducteur d'équipement de formage,23048,FORMAGE
44113,Conducteur d'équipement de formage,23059,EMBOUTISSAGE
44113,Conducteur d'équipement de formage,23690,COUTELLERIE TAILLANDERIE
44114,Chaudronnier-tôlier,23082,CHAUDRONNERIE INOX
44114,Chaudronnier-tôlier,23083,CHAUDRONNERIE
44114,Chaudronnier-tôlier,23094,TOLERIE
44121,Opérateur-régleur sur machine-outil,23067,FRAISAGE
44121,Opérateur-régleur sur machine-outil,24404,COMMANDE NUMERIQUE FRAISAGE
44121,Opérateur-régleur sur machine-outil,24406,COMMANDE NUMERIQUE TOURNAGE
44121,Opérateur-régleur sur machine-outil,24407,PROGRAMMATION MOCN
44121,Opérateur-régleur sur machine-outil,24413,CENTRE USINAGE
44121,Opérateur-régleur sur machine-outil,24425,MOCN
44131,Agent de montage-assemblage de la construction mécanique,23035,MONTAGE ASSEMBLAGE
44131,Agent de montage-assemblage de la construction mécanique,23662,CONSTRUCTION MECANIQUE
44132,Soudeur,23004,SOUDAGE ELECTRODE ENROBEE
44132,Soudeur,23005,SOUDAGE FAISCEAU ELECTRONS
44132,Soudeur,23006,SOUDAGE OXYACETYLENIQUE
44132,Soudeur,23007,SOUDAGE MATIERE PLASTIQUE
44132,Soudeur,23008,SOUDAGE AUTRE
44132,Soudeur,23009,SOUDAGE LASER
44132,Soudeur,23013,SOUDAGE PLASMA
44132,Soudeur,23014,SOUDAGE ARC
44132,Soudeur,23026,SOUDAGE
44132,Soudeur,23028,BRASAGE
44132,Soudeur,23037,SOUDOBRASAGE
44133,Charpentier en structures métalliques,22469,CHARPENTE METALLIQUE
44133,Charpentier en structures métalliques,23601,CHARPENTE MARINE
44134,Tuyauteur industriel,23084,TUYAUTAGE
44135,Ajusteur mécanicien,23096,AJUSTAGE
44141,Agent de traitement thermique,23074,TRAITEMENT THERMIQUE
44142,Agent de traitement de surface,23042,TRAITEMENT SURFACE
44142,Agent de traitement de surface,23051,EMAILLAGE
44142,Agent de traitement de surface,23583,MECANIQUE SURFACE
44142,Agent de traitement de surface,23607,PEINTURE CARROSSERIE
44143,Stratifieur-mouliste,23010,MOULAGE PLASTIQUE
44151,Contrôleur de fabrication de la construction mécanique et du travail des métaux,23033,QUALITE ASSEMBLAGE
44151,Contrôleur de fabrication de la construction mécanique et du travail des métaux,23062,METALLURGIE
44151,Contrôleur de fabrication de la construction mécanique et du travail des métaux,23662,CONSTRUCTION MECANIQUE
44211,Opérateur sur machines automatiques en production électrique et électronique,24016,MONTAGE CABLAGE ELECTRIQUE
44211,Opérateur sur machines automatiques en production électrique et électronique,24086,DISTRIBUTION ELECTRICITE
44212,Interconnecteur en matériel électrique et électromécanique,24016,MONTAGE CABLAGE ELECTRIQUE
44212,Interconnecteur en matériel électrique et électromécanique,24052,ELECTROMECANIQUE
44212,Interconnecteur en matériel électrique et électromécanique,24086,DISTRIBUTION ELECTRICITE
44212,Interconnecteur en matériel électrique et électromécanique,24089,ECLAIRAGE PUBLIC
44212,Interconnecteur en matériel électrique et électromécanique,24099,ELECTRICITE EQUIPEMENT INDUSTRIEL
44212,Interconnecteur en matériel électrique et électromécanique,24254,TELECOMMUNICATION
44213,Interconnecteur en électronique,24254,TELECOMMUNICATION
44213,Interconnecteur en électronique,24322,MONTAGE CABLAGE ELECTRONIQUE
44214,Bobinier de la construction électrique et électronique,24070,MOTEUR ELECTRIQUE
44221,Contrôleur en électricité et électronique,24047,SECURITE ELECTRIQUE
44221,Contrôleur en électricité et électronique,24360,QUALITE ELECTRONIQUE
44311,Mécanicien de maintenance,23654,MECANIQUE CONSTRUCTION REPARATION
44311,Mécanicien de maintenance,23684,ENTRETIEN MECANIQUE
44312,Affûteur,23097,AFFUTAGE
44313,Régleur,23654,MECANIQUE CONSTRUCTION REPARATION
44314,Maintenicien en mécanique aéronautique,23521,AERODYNAMIQUE
44314,Maintenicien en mécanique aéronautique,23594,MECANIQUE VOL
44314,Maintenicien en mécanique aéronautique,23613,MECANIQUE AERONAUTIQUE
44315,Maintenicien en mécanique maritime,21320,MECANIQUE PECHE
44315,Maintenicien en mécanique maritime,23602,ENTRETIEN MARINE PLAISANCE
44315,Maintenicien en mécanique maritime,23610,MECANIQUE NAVALE
44315,Maintenicien en mécanique maritime,23622,CONSTRUCTION MAINTENANCE NAVALE
44316,"Mécanicien d'engins de chantier, de levage et manutention et de machines agrico",21011,MACHINISME AGRICOLE
44316,"Mécanicien d'engins de chantier, de levage et manutention et de machines agrico",23604,REPARATION ENGIN MANUTENTION
44321,Mécanicien de véhicules particuliers et industriels,23605,ELECTRONIQUE AUTOMOBILE
44321,Mécanicien de véhicules particuliers et industriels,23615,REPARATION VEHICULE INDUSTRIEL
44321,Mécanicien de véhicules particuliers et industriels,23637,REPARATION AUTOMOBILE
44321,Mécanicien de véhicules particuliers et industriels,23649,CONTROLE AUTOMOBILE
44322,"Mécanicien en motocycles, matériels d'entretien et de loisirs",23635,MECANIQUE CYCLE MOTOCYCLE
44323,Réparateur en carrosserie,23617,CARROSSERIE
44324,Maintenicien en microsystèmes horlogers et photographiques,23650,OPTIQUE INSTRUMENTALE
44324,Maintenicien en microsystèmes horlogers et photographiques,23661,MECANIQUE PRECISION
44324,Maintenicien en microsystèmes horlogers et photographiques,23670,HORLOGERIE
44331,Electricien de maintenance,23606,ELECTRICITE AUTOMOBILE
44331,Electricien de maintenance,24069,MAINTENANCE INSTALLATION ELECTRIQUE
44331,Electricien de maintenance,24099,ELECTRICITE EQUIPEMENT INDUSTRIEL
